Interval,Processor0,Processor1,Processor2,Processor3,Processor4,Processor5,Processor6,Processor7,Processor8,Processor9,Processor10,Processor11,Processor12,Processor13,Processor14,Processor15,Processor16,Processor17,Processor18,Processor19,Processor20,Processor21,Processor22,Processor23,Processor24,Processor25,Processor26,Processor27,Processor28,Processor29,Processor30,Processor31,Processor32,Processor33,Processor34,Processor35,Max,Mean,SD,CV
333,82167.0,81121.0,105425.0,83055.0,79768.0,84430.0,98731.0,82240.0,79525.0,121916.0,89396.0,80651.0,82249.0,87039.0,77336.0,89335.0,81421.0,98692.0,99317.0,98104.0,88759.0,85342.0,93296.0,81819.0,99463.0,113423.0,110895.0,84014.0,84633.0,81393.0,82123.0,109545.0,90291.0,86864.0,81380.0,84789.0,121916.0,89998.52777777778,10949.263634515213,0.12166047495300006
334,76478.0,78744.0,120105.0,83611.0,78560.0,86665.0,87153.0,77736.0,77121.0,125761.0,82340.0,78115.0,81020.0,83100.0,78472.0,83650.0,82642.0,94252.0,103406.0,102727.0,82519.0,89556.0,78385.0,77563.0,94311.0,111968.0,117268.0,83028.0,79773.0,78531.0,81657.0,113236.0,100603.0,81530.0,78521.0,82141.0,125761.0,88673.55555555556,13658.832037762324,0.15403501023712557
335,77675.0,82738.0,128510.0,76421.0,79469.0,91329.0,79065.0,76647.0,80490.0,124684.0,81850.0,80587.0,82754.0,82453.0,75469.0,90264.0,83229.0,91337.0,110278.0,105957.0,81579.0,99914.0,80722.0,78562.0,86914.0,100488.0,121554.0,80310.0,80789.0,77380.0,85780.0,112641.0,91003.0,82449.0,81396.0,80975.0,128510.0,88990.61111111111,14251.431308776164,0.1601453359049556
336,80336.0,84154.0,122268.0,81863.0,76240.0,99083.0,78305.0,77280.0,83917.0,117295.0,79163.0,76286.0,87679.0,83471.0,80677.0,95382.0,83744.0,90071.0,102229.0,103729.0,79236.0,106298.0,89226.0,75959.0,86013.0,89121.0,118853.0,82734.0,80732.0,80591.0,88927.0,110702.0,88581.0,76033.0,83130.0,78129.0,122268.0,88817.69444444444,12752.183235342367,0.14357705764721096
337,77664.0,87702.0,111521.0,81886.0,77419.0,109088.0,78865.0,78701.0,80170.0,103685.0,78068.0,76991.0,89219.0,79461.0,77360.0,97912.0,88617.0,86722.0,94607.0,93726.0,86262.0,109659.0,94392.0,84599.0,82207.0,86777.0,107134.0,80292.0,76347.0,78762.0,95217.0,101466.0,93711.0,77267.0,82823.0,82963.0,111521.0,88035.05555555556,10481.77118181964,0.11906360614726931
338,76872.0,93020.0,100257.0,85795.0,78825.0,116499.0,74294.0,76958.0,85802.0,93256.0,78934.0,77224.0,94106.0,77360.0,77905.0,90342.0,85053.0,81882.0,96100.0,88545.0,84510.0,109273.0,99352.0,94142.0,78176.0,78647.0,95617.0,78720.0,76984.0,86355.0,98344.0,105266.0,89923.0,75079.0,80530.0,74834.0,116499.0,87077.25,10499.623110630104,0.12057825793338793
339,78171.0,102364.0,90507.0,84086.0,75548.0,120885.0,74344.0,71016.0,76235.0,83506.0,78244.0,75854.0,93885.0,76873.0,80697.0,93949.0,86612.0,75443.0,91712.0,91718.0,89300.0,106099.0,102975.0,97677.0,76351.0,77245.0,91525.0,77263.0,76021.0,79448.0,102201.0,109165.0,91341.0,74278.0,78358.0,73167.0,120885.0,86223.97222222222,11975.705403686876,0.13889067152719758
340,74092.0,107469.0,80733.0,88469.0,78994.0,119226.0,72362.0,69366.0,76593.0,78364.0,74700.0,74047.0,97580.0,73645.0,81912.0,94390.0,92833.0,75246.0,77548.0,92929.0,92095.0,101922.0,104815.0,101766.0,74863.0,74651.0,85019.0,75083.0,71638.0,73972.0,102762.0,107365.0,93070.0,74973.0,73867.0,72416.0,119226.0,85021.52777777778,13068.951178877938,0.15371343611980814
341,76360.0,111420.0,73019.0,87714.0,82817.0,111801.0,70257.0,70427.0,76173.0,76975.0,74411.0,72680.0,96772.0,73911.0,85265.0,97643.0,95739.0,73331.0,73536.0,92629.0,84378.0,94400.0,105219.0,104044.0,72645.0,72422.0,81014.0,73857.0,71991.0,77880.0,102084.0,101053.0,91696.0,75343.0,74327.0,71218.0,111801.0,84068.08333333333,12732.808916720702,0.15145829917680653
342,81970.0,107814.0,73531.0,82968.0,92352.0,105908.0,81563.0,77525.0,98185.0,76366.0,74920.0,73506.0,95816.0,73206.0,89234.0,85763.0,89418.0,74138.0,81687.0,95647.0,95005.0,92138.0,109810.0,107782.0,73672.0,73091.0,81423.0,74568.0,73918.0,75298.0,105792.0,97306.0,94416.0,86298.0,77477.0,80937.0,109810.0,86401.33333333333,11563.310098948503,0.13383254230970784
